company_id,has_tracker,tracker_count,policy_disclosed,under_disclosure,over_disclosure,mismatch_label
MSM_20561,True,13,True,False,False,none
MSM_20568,False,0,False,False,False,none
MSM_20574,True,48,False,True,False,under_disclosure
MSM_20579,True,14,False,True,False,under_disclosure
MSM_20606,True,9,False,True,False,under_disclosure
MSM_20625,True,10,False,True,False,under_disclosure
MSM_20634,True,16,False,True,False,under_disclosure
MSM_20638,True,10,False,True,False,under_disclosure
MSM_20643,False,0,False,False,False,none
MSM_20674,False,0,False,False,False,none
MSM_20679,True,1,False,True,False,under_disclosure
MSM_20704,True,8,False,True,False,under_disclosure
MSM_20715,False,0,True,False,True,over_disclosure
MSM_20742,True,10,False,True,False,under_disclosure
MSM_20756,False,0,False,False,False,none
MSM_20775,True,3,True,False,False,none
MSM_20785,True,13,False,True,False,under_disclosure
MSM_20794,False,0,False,False,False,none
MSM_20814,True,10,False,True,False,under_disclosure
MSM_20818,True,2,True,False,False,none
MSM_20834,True,14,False,True,False,under_disclosure
MSM_20849,True,6,False,True,False,under_disclosure
MSM_20855,True,48,True,False,False,none
MSM_20857,False,0,False,False,False,none
MSM_20862,True,1,False,True,False,under_disclosure
MSM_20869,True,18,False,True,False,under_disclosure
MSM_20893,True,4,False,True,False,under_disclosure
MSM_20905,True,2,False,True,False,under_disclosure
MSM_20928,False,0,False,False,False,none
MSM_20947,True,14,False,True,False,under_disclosure
MSM_20955,True,17,False,True,False,under_disclosure
MSM_20975,True,20,False,True,False,under_disclosure
MSM_20978,True,17,False,True,False,under_disclosure
MSM_20982,True,15,False,True,False,under_disclosure
MSM_20994,True,2,True,False,False,none
MSM_21008,True,24,False,True,False,under_disclosure
MSM_21011,False,0,False,False,False,none
MSM_21016,True,12,False,True,False,under_disclosure
MSM_21022,True,6,True,False,False,none
MSM_21025,True,1,False,True,False,under_disclosure
MSM_21043,False,0,False,False,False,none
MSM_21054,True,4,False,True,False,under_disclosure
MSM_21056,True,6,False,True,False,under_disclosure
MSM_21085,True,16,False,True,False,under_disclosure
MSM_21099,True,9,False,True,False,under_disclosure
MSM_21109,True,67,False,True,False,under_disclosure
MSM_21128,False,0,False,False,False,none
MSM_21129,True,1,True,False,False,none
MSM_21142,True,10,False,True,False,under_disclosure
MSM_21145,False,0,False,False,False,none
MSM_21175,False,0,True,False,True,over_disclosure
MSM_21184,True,2,True,False,False,none
MSM_21201,True,39,True,False,False,none
MSM_21216,True,10,False,True,False,under_disclosure
MSM_21222,True,6,True,False,False,none
MSM_21257,True,5,False,True,False,under_disclosure
MSM_21262,True,5,False,True,False,under_disclosure
MSM_21273,True,6,False,True,False,under_disclosure
MSM_21284,True,20,False,True,False,under_disclosure
MSM_21315,False,0,False,False,False,none
MSM_21318,True,4,False,True,False,under_disclosure
MSM_21320,True,1,False,True,False,under_disclosure
MSM_21321,True,5,False,True,False,under_disclosure
MSM_21324,True,24,False,True,False,under_disclosure
MSM_21334,True,28,False,True,False,under_disclosure
MSM_21337,False,0,False,False,False,none
MSM_21347,False,0,False,False,False,none
MSM_21350,True,14,False,True,False,under_disclosure
MSM_21353,False,0,False,False,False,none
MSM_21364,True,6,False,True,False,under_disclosure
MSM_21367,False,0,False,False,False,none
MSM_21372,True,4,False,True,False,under_disclosure
MSM_21375,True,16,False,True,False,under_disclosure
MSM_21379,True,6,False,True,False,under_disclosure
MSM_21394,True,34,False,True,False,under_disclosure
MSM_21404,False,0,False,False,False,none
MSM_21420,True,7,False,True,False,under_disclosure
MSM_21427,True,18,False,True,False,under_disclosure
MSM_21430,True,14,False,True,False,under_disclosure
MSM_21432,True,1,False,True,False,under_disclosure
MSM_21433,False,0,False,False,False,none
MSM_21442,True,14,False,True,False,under_disclosure
MSM_21448,True,15,False,True,False,under_disclosure
MSM_21452,True,14,False,True,False,under_disclosure
MSM_21454,True,9,False,True,False,under_disclosure
MSM_21495,False,0,False,False,False,none
MSM_21501,True,14,False,True,False,under_disclosure
MSM_21523,True,15,False,True,False,under_disclosure
MSM_21528,True,5,False,True,False,under_disclosure
MSM_21537,True,31,False,True,False,under_disclosure
MSM_21547,True,2,False,True,False,under_disclosure
MSM_21559,True,2,False,True,False,under_disclosure
MSM_21571,True,9,False,True,False,under_disclosure
MSM_21574,True,3,False,True,False,under_disclosure
MSM_21593,True,20,True,False,False,none
MSM_21598,True,4,True,False,False,none
MSM_21613,True,13,True,False,False,none
MSM_21616,True,4,False,True,False,under_disclosure
MSM_21620,True,25,False,True,False,under_disclosure
MSM_21624,False,0,False,False,False,none
MSM_21685,True,2,False,True,False,under_disclosure
MSM_21687,True,14,False,True,False,under_disclosure
MSM_21700,True,13,False,True,False,under_disclosure
MSM_21703,True,13,True,False,False,none
MSM_21710,True,18,False,True,False,under_disclosure
MSM_21716,True,14,False,True,False,under_disclosure
MSM_21727,True,5,False,True,False,under_disclosure
MSM_21728,True,9,False,True,False,under_disclosure
MSM_21737,False,0,False,False,False,none
MSM_21738,True,4,False,True,False,under_disclosure
MSM_21748,True,16,False,True,False,under_disclosure
MSM_21758,True,18,False,True,False,under_disclosure
MSM_21761,True,24,False,True,False,under_disclosure
MSM_21768,True,3,False,True,False,under_disclosure
MSM_21788,False,0,False,False,False,none
MSM_21791,True,20,True,False,False,none
MSM_21820,True,9,False,True,False,under_disclosure
MSM_21826,True,6,False,True,False,under_disclosure
MSM_21838,True,6,False,True,False,under_disclosure
MSM_21839,True,13,False,True,False,under_disclosure
MSM_21842,True,5,False,True,False,under_disclosure
MSM_21843,True,32,False,True,False,under_disclosure
MSM_21856,True,18,False,True,False,under_disclosure
MSM_21866,True,15,False,True,False,under_disclosure
MSM_21875,False,0,False,False,False,none
MSM_21876,True,10,False,True,False,under_disclosure
MSM_21901,True,15,False,True,False,under_disclosure
MSM_21904,True,10,False,True,False,under_disclosure
MSM_21919,True,21,True,False,False,none
MSM_21934,True,7,False,True,False,under_disclosure
MSM_21935,True,1,False,True,False,under_disclosure
MSM_21944,True,5,False,True,False,under_disclosure
MSM_21946,True,11,False,True,False,under_disclosure
MSM_21951,True,2,False,True,False,under_disclosure
MSM_21952,False,0,False,False,False,none
MSM_21970,True,3,False,True,False,under_disclosure
MSM_21978,True,1,False,True,False,under_disclosure
MSM_21979,False,0,False,False,False,none
MSM_21980,True,6,False,True,False,under_disclosure
MSM_21981,True,4,False,True,False,under_disclosure
MSM_21991,True,1,False,True,False,under_disclosure
MSM_21992,True,12,False,True,False,under_disclosure
MSM_21996,True,15,False,True,False,under_disclosure
MSM_22012,True,16,False,True,False,under_disclosure
MSM_22013,True,31,False,True,False,under_disclosure
MSM_22020,True,1,False,True,False,under_disclosure
MSM_22026,True,3,False,True,False,under_disclosure
MSM_22034,False,0,False,False,False,none
MSM_22040,True,18,False,True,False,under_disclosure
MSM_22054,True,15,False,True,False,under_disclosure
MSM_22064,False,0,False,False,False,none
MSM_22084,True,12,False,True,False,under_disclosure
MSM_22087,True,4,False,True,False,under_disclosure
